	File_Name	ENSEMBL	CHR	strand	SYMBOL	TSS	SPECIES	FILE_TYPE	PERTURBATION	DATASET
0	Chaserr.txt	ENSMUST00000184587	chr7	-	Chaserr	73558395.0	mouse	SYMBOL	-	cis_example
1	UMLILO.txt	ENSG00000228277	chr4	+	UMLILO	73710302.0	human	ENSEMBL	-	cis_example
2	XIST_10.txt	ENSG00000229807	chrX	-	XIST	73852723.0	human	SYMBOL	-	cis_example
3	XIST_13.txt	ENSG00000229807	chrX	-	XIST	73852723.0	human	SYMBOL	-	cis_example
4	Paupar.txt	ENSMUSG00000102424	chr2	-	Paupar	105661343.0	mouse	SYMBOL	-	cis_example
5	Dali.txt	ENSMUSG00000099784	chr1	+	Dali	42750712.0	mouse	SYMBOL	-	cis_example
6	2_BANCR.txt	ENSG00000278910	chr9	-	BANCR	69311111.0	human	ENSEMBL	shRNA	lncRNA2Target
7	3_TUG1.txt	ENSG00000253352	chr22	+	TUG1	30969245.0	human	ENSEMBL	siRNA	lncRNA2Target
8	4_TUG1.txt	ENSG00000253352	chr22	+	TUG1	30969245.0	human	ENSEMBL	siRNA	lncRNA2Target
9	5_lincFOXF1.txt	ENSG00000268388	chr16	-	lincFOXF1	86509099.0	human	ENSEMBL	siRNA	lncRNA2Target
10	7_lincIRX5.txt	ENSG00000245694	chr16	-	lincIRX5	54929189.0	human	ENSEMBL	siRNA	lncRNA2Target
11	8_lincMTX2.txt	ENSG00000163364	chr2	-	lincMTX2	176637931.0	human	ENSEMBL	siRNA	lncRNA2Target
12	9_lincTNS1.txt		chr2	-	lincTNS1	218033982.0	human	ENSEMBL	siRNA	lncRNA2Target
13	10_lincZFP161.txt	ENSG00000263753	chr18	+	lincZFP161	5237826.0	human	ENSEMBL	siRNA	lncRNA2Target
14	11_lincSTXBP5.txt	ENSG00000233452	chr6	-	lincSTXBP5	147204614.0	human	ENSEMBL	siRNA	lncRNA2Target
15	12_ANCR.txt	ENSG00000226950	chr4	+	ANCR	52712404.0	human	ENSEMBL	siRNA	lncRNA2Target
16	15_AK005218.txt		chr2	-	AK005218	127966752.0	mouse	ENSEMBL	siRNA	lncRNA2Target
17	16_AK016444.txt		chr19	-	AK016444	37189605.0	mouse	ENSEMBL	siRNA	lncRNA2Target
18	17_AK017076.txt		chr8	-	AK017076	89832221.0	mouse	ENSEMBL	siRNA	lncRNA2Target
19	19_AK040027.txt		chr10	+	AK040027	129062189.0	mouse	ENSEMBL	siRNA	lncRNA2Target
20	20_AK040954.txt		chr12	-	AK040954	32086091.0	mouse	ENSEMBL	siRNA	lncRNA2Target
21	22_AK045415.txt		chr10	+	AK045415	107496461.0	mouse	ENSEMBL	siRNA	lncRNA2Target
22	23_AK136742.txt		chr17	-	AK136742	33772233.0	mouse	ENSEMBL	siRNA	lncRNA2Target
23	24_AK161599.txt		chr3	+	AK161599	89587942.0	mouse	ENSEMBL	siRNA	lncRNA2Target
24	25_MALAT1.txt	ENSG00000251562	chr11	+	MALAT1	65497688.0	human	ENSEMBL	ASO	lncRNA2Target
25	26_Fendrr.txt	ENSMUSG00000097336	chr8	-	Fendrr	121083110.0	mouse	ENSEMBL	?	lncRNA2Target
26	29_DA125942.txt	ENSG00000260492	chr12	-	DA125942	53757227.0	human	ENSEMBL	siRNA	lncRNA2Target
27	32_BEHOT.txt	ENSG00000224189	chr2	-	BEHOT	176188958.0	human	ENSEMBL	siRNA	lncRNA2Target
28	33_NEAT1.txt	ENSG00000245532	chr11	+	NEAT1	65422774.0	human	ENSEMBL	ASO	lncRNA2Target
29	38_linc1230.txt	ENSMUSG00000103708	chr1	-	linc1230	36011044.0	mouse	ENSEMBL	shRNA	lncRNA2Target
30	40_linc1239.txt		chr1	-	linc1239	161006591.0	mouse	ENSEMBL	shRNA	lncRNA2Target
31	43_linc1245.txt	ENSMUSG00000093489	chr10	-	linc1245	61042811.0	mouse	ENSEMBL	shRNA	lncRNA2Target
32	49_linc1259.txt		chr11	-	linc1259	33545125.0	mouse	ENSEMBL	shRNA	lncRNA2Target
33	51_linc1261.txt	ENSMUSG00000042549	chr11	-	linc1261	60931867.0	mouse	ENSEMBL	shRNA	lncRNA2Target
34	52_linc1262.txt	ENSMUSG00000085175	chr11	-	linc1262	82781042.0	mouse	ENSEMBL	shRNA	lncRNA2Target
35	54_linc1270.txt	ENSMUSG00000085622	chr12	-	linc1270	71015832.0	mouse	ENSEMBL	shRNA	lncRNA2Target
36	55_linc1274.txt	ENSMUSG00000113769	chr12	-	linc1274	111944484.0	mouse	ENSEMBL	shRNA	lncRNA2Target
37	60_linc1290.txt	ENSMUSG00000096956	chr15	-	linc1290	32244662.0	mouse	ENSEMBL	shRNA	lncRNA2Target
38	61_linc1293.txt	ENSMUSG00000075511	chr15	-	linc1293	83367282.0	mouse	ENSEMBL	shRNA	lncRNA2Target
39	65_linc1307.txt	ENSMUSG00000092203	chr17	-	linc1307	34952471.0	mouse	ENSEMBL	shRNA	lncRNA2Target
40	66_linc1312.txt		chr18	-	linc1312	38635858.0	mouse	ENSEMBL	shRNA	lncRNA2Target
41	67_linc1313.txt		chr18	-	linc1313	38680419.0	mouse	ENSEMBL	shRNA	lncRNA2Target
42	68_linc1315.txt		chr18	-	linc1315	61648294.0	mouse	ENSEMBL	shRNA	lncRNA2Target
43	69_linc1316.txt	ENSMUSG00000092569	chr18	-	linc1316	75367088.0	mouse	ENSEMBL	shRNA	lncRNA2Target
44	72_linc1328.txt	ENSMUSG00000087547	chr2	-	linc1328	157597320.0	mouse	ENSEMBL	shRNA	lncRNA2Target
45	73_linc1331.txt	ENSMUSG00000055897	chr2	-	linc1331	173659640.0	mouse	ENSEMBL	shRNA	lncRNA2Target
46	74_linc1335.txt	ENSMUSG00000102476	chr3	-	linc1335	93465359.0	mouse	ENSEMBL	shRNA	lncRNA2Target
47	78_linc1347.txt	ENSMUSG00000105987	chr5	-	linc1347	23712667.0	mouse	ENSEMBL	shRNA	lncRNA2Target
48	79_linc1349.txt		chr5	-	linc1349	32831809.0	mouse	ENSEMBL	shRNA	lncRNA2Target
49	80_linc1354.txt	ENSMUSG00000097772	chr5	-	linc1354	100429535.0	mouse	ENSEMBL	shRNA	lncRNA2Target
50	83_linc1361.txt		chr6	-	linc1361	39270620.0	mouse	ENSEMBL	shRNA	lncRNA2Target
51	84_linc1366.txt	ENSMUSG00000101655	chr6	-	linc1366	86488227.0	mouse	ENSEMBL	shRNA	lncRNA2Target
52	85_linc1368.txt	ENSMUSG00000107739	chr6	-	linc1368	93650225.0	mouse	ENSEMBL	shRNA	lncRNA2Target
53	86_linc1369.txt	ENSMUSG00000087341	chr6	-	linc1369	108660934.0	mouse	ENSEMBL	shRNA	lncRNA2Target
54	87_linc1382.txt	ENSMUSG00000108491	chr7	-	linc1382	42509334.0	mouse	ENSEMBL	shRNA	lncRNA2Target
55	88_linc1385.txt	ENSMUSG00000100826	chr7	-	linc1385	59975759.0	mouse	ENSEMBL	shRNA	lncRNA2Target
56	89_linc1386.txt	ENSMUSG00000097415	chr7	-	linc1386	75782099.0	mouse	ENSEMBL	shRNA	lncRNA2Target
57	90_linc1388.txt		chr7	-	linc1388	127662200.0	mouse	ENSEMBL	shRNA	lncRNA2Target
58	91_linc1389.txt		chr7	-	linc1389	137411554.0	mouse	ENSEMBL	shRNA	lncRNA2Target
59	92_linc1390.txt		chr8	-	linc1390	36545826.0	mouse	ENSEMBL	shRNA	lncRNA2Target
60	93_linc1391.txt		chr8	-	linc1391	57490812.0	mouse	ENSEMBL	shRNA	lncRNA2Target
61	95_linc1400.txt		chr8	-	linc1400	107682230.0	mouse	ENSEMBL	shRNA	lncRNA2Target
62	98_linc1410.txt	ENSMUSG00000087365	chrX	-	linc1410	53057190.0	mouse	ENSEMBL	shRNA	lncRNA2Target
63	99_linc1411.txt		chrX	-	linc1411	95967117.0	mouse	ENSEMBL	shRNA	lncRNA2Target
64	100_linc1412.txt	ENSMUSG00000087174	chrX	-	linc1412	105079609.0	mouse	ENSEMBL	shRNA	lncRNA2Target
65	101_linc1413.txt	ENSMUSG00000086807	chrX	-	linc1413	139357738.0	mouse	ENSEMBL	shRNA	lncRNA2Target
66	102_linc1418.txt		chr1	+	linc1418	119305598.0	mouse	ENSEMBL	shRNA	lncRNA2Target
67	103_linc1419.txt		chr1	+	linc1419	119309708.0	mouse	ENSEMBL	shRNA	lncRNA2Target
68	104_linc1421.txt		chr1	+	linc1421	136581843.0	mouse	ENSEMBL	shRNA	lncRNA2Target
69	105_linc1422.txt	ENSMUSG00000097113	chr1	+	linc1422	136670769.0	mouse	ENSEMBL	shRNA	lncRNA2Target
70	106_linc1425.txt	ENSMUSG00000053332	chr1	+	linc1425	161034422.0	mouse	ENSEMBL	shRNA	lncRNA2Target
71	107_linc1427.txt		chr1	+	linc1427	182027461.0	mouse	ENSEMBL	shRNA	lncRNA2Target
72	108_linc1428.txt	ENSMUSG00000073478	chr1	+	linc1428	191224454.0	mouse	ENSEMBL	shRNA	lncRNA2Target
73	109_linc1434.txt		chr10	+	linc1434	82368312.0	mouse	ENSEMBL	shRNA	lncRNA2Target
74	110_linc1435.txt		chr10	+	linc1435	83722446.0	mouse	ENSEMBL	shRNA	lncRNA2Target
75	112_linc1450.txt	ENSMUSG00000085860	chr11	+	linc1450	97598511.0	mouse	ENSEMBL	shRNA	lncRNA2Target
76	113_linc1454.txt		chr12	+	linc1454	51829835.0	mouse	ENSEMBL	shRNA	lncRNA2Target
77	114_linc1456.txt	ENSMUSG00000073000	chr12	+	linc1456	76444497.0	mouse	ENSEMBL	shRNA	lncRNA2Target
78	115_linc1457.txt		chr12	+	linc1457	86826004.0	mouse	ENSEMBL	shRNA	lncRNA2Target
79	116_linc1463.txt	ENSMUSG00000113081	chr13	+	linc1463	62263566.0	mouse	ENSEMBL	shRNA	lncRNA2Target
80	118_linc1468.txt	ENSMUSG00000078952	chr13	+	linc1468	97434970.0	mouse	ENSEMBL	shRNA	lncRNA2Target
81	119_linc1470.txt	ENSMUSG00000097848	chr13	+	linc1470	99100706.0	mouse	ENSEMBL	shRNA	lncRNA2Target
82	120_linc1471.txt		chr13	+	linc1471	113736109.0	mouse	ENSEMBL	shRNA	lncRNA2Target
83	121_linc1473.txt	ENSMUSG00000115092	chr14	+	linc1473	76526592.0	mouse	ENSEMBL	shRNA	lncRNA2Target
84	123_linc1483.txt	ENSMUSG00000116469	chr16	+	linc1483	9079396.0	mouse	ENSEMBL	shRNA	lncRNA2Target
85	130_linc1517.txt	ENSMUSG00000106519	chr3	+	linc1517	34772075.0	mouse	ENSEMBL	shRNA	lncRNA2Target
86	131_linc1524.txt		chr4	+	linc1524	127331810.0	mouse	ENSEMBL	shRNA	lncRNA2Target
87	135_linc1540.txt	ENSMUSG00000118625	chr5	+	linc1540	104526458.0	mouse	ENSEMBL	shRNA	lncRNA2Target
88	136_linc1543.txt	ENSMUSG00000097908	chr5	+	linc1543	136919146.0	mouse	ENSEMBL	shRNA	lncRNA2Target
89	138_linc1552.txt	ENSMUSG00000097048	chr6	+	linc1552	86526247.0	mouse	ENSEMBL	shRNA	lncRNA2Target
90	139_linc1555.txt		chr6	+	linc1555	117879288.0	mouse	ENSEMBL	shRNA	lncRNA2Target
91	140_linc1557.txt		chr6	+	linc1557	125432492.0	mouse	ENSEMBL	shRNA	lncRNA2Target
92	141_linc1558.txt	ENSMUSG00000059659	chr6	+	linc1558	128438757.0	mouse	ENSEMBL	shRNA	lncRNA2Target
93	142_linc1559.txt		chr6	+	linc1559	133105303.0	mouse	ENSEMBL	shRNA	lncRNA2Target
94	145_linc1572.txt	ENSMUSG00000097277	chr7	+	linc1572	81523550.0	mouse	ENSEMBL	shRNA	lncRNA2Target
95	146_linc1581.txt		chr8	+	linc1581	71950161.0	mouse	ENSEMBL	shRNA	lncRNA2Target
96	147_linc1582.txt	ENSMUSG00000097248	chr8	+	linc1582	87460469.0	mouse	ENSEMBL	shRNA	lncRNA2Target
97	148_linc1588.txt	ENSMUSG00000097651	chr9	+	linc1588	58455122.0	mouse	ENSEMBL	shRNA	lncRNA2Target
98	149_linc1589.txt		chr9	+	linc1589	88552081.0	mouse	ENSEMBL	shRNA	lncRNA2Target
99	150_linc1592.txt	ENSMUSG00000086877	chrX	+	linc1592	20961684.0	mouse	ENSEMBL	shRNA	lncRNA2Target
100	151_linc1595.txt		chr1	+	linc1595	133667694.0	mouse	ENSEMBL	shRNA	lncRNA2Target
101	154_linc1599.txt	ENSMUSG00000085665	chr11	+	linc1599	23067998.0	mouse	ENSEMBL	shRNA	lncRNA2Target
102	156_linc1601.txt	ENSMUSG00000087497	chr11	+	linc1601	64079484.0	mouse	ENSEMBL	shRNA	lncRNA2Target
103	157_linc1602.txt	ENSMUSG00000086193	chr11	-	linc1602	88048006.0	mouse	ENSEMBL	shRNA	lncRNA2Target
104	158_linc1603.txt	ENSMUSG00000086015	chr11	+	linc1603	95858865.0	mouse	ENSEMBL	shRNA	lncRNA2Target
105	159_linc1604.txt		chr11	-	linc1604	102579161.0	mouse	ENSEMBL	shRNA	lncRNA2Target
106	161_linc1608.txt		chr15	+	linc1608	41347357.0	mouse	ENSEMBL	shRNA	lncRNA2Target
107	162_linc1609.txt	ENSMUSG00000097318	chr16	-	linc1609	33380727.0	mouse	ENSEMBL	shRNA	lncRNA2Target
108	163_linc1610.txt	ENSMUSG00000097694	chr16	+	linc1610	50526245.0	mouse	ENSEMBL	shRNA	lncRNA2Target
109	164_linc1611.txt	ENSMUSG00000116947	chr16	+	linc1611	94011441.0	mouse	ENSEMBL	shRNA	lncRNA2Target
110	165_linc1612.txt	ENSMUSG00000117654	chr17	-	linc1612	32877942.0	mouse	ENSEMBL	shRNA	lncRNA2Target
111	166_linc1613.txt	ENSMUSG00000092564	chr17	-	linc1613	33909317.0	mouse	ENSEMBL	shRNA	lncRNA2Target
112	167_linc1614.txt	ENSMUSG00000087590	chr18	+	linc1614	33794892.0	mouse	ENSEMBL	shRNA	lncRNA2Target
113	168_linc1615.txt	ENSMUSG00000117662	chr18	-	linc1615	42275197.0	mouse	ENSEMBL	shRNA	lncRNA2Target
114	170_linc1617.txt	ENSMUSG00000087283	chr2	+	linc1617	60411525.0	mouse	ENSEMBL	shRNA	lncRNA2Target
115	171_linc1618.txt		chr2	-	linc1618	84743988.0	mouse	ENSEMBL	shRNA	lncRNA2Target
116	173_linc1622.txt		chr4	-	linc1622	59111789.0	mouse	ENSEMBL	shRNA	lncRNA2Target
117	174_linc1623.txt	ENSMUSG00000086096	chr4	-	linc1623	99654983.0	mouse	ENSEMBL	shRNA	lncRNA2Target
118	175_linc1624.txt		chr4	+	linc1624	138498151.0	mouse	ENSEMBL	shRNA	lncRNA2Target
119	176_linc1626.txt		chr5	+	linc1626	115203665.0	mouse	ENSEMBL	shRNA	lncRNA2Target
120	178_linc1629.txt		chr6	+	linc1629	37442387.0	mouse	ENSEMBL	shRNA	lncRNA2Target
121	179_linc1630.txt	ENSMUSG00000086013	chr6	+	linc1630	145250529.0	mouse	ENSEMBL	shRNA	lncRNA2Target
122	180_linc1631.txt	ENSMUSG00000093405	chr7	-	linc1631	65861992.0	mouse	ENSEMBL	shRNA	lncRNA2Target
123	181_linc1632.txt		chr7	+	linc1632	127208833.0	mouse	ENSEMBL	shRNA	lncRNA2Target
124	182_linc1633.txt		chr8	+	linc1633	70718353.0	mouse	ENSEMBL	shRNA	lncRNA2Target
125	183_linc1634.txt	ENSMUSG00000086390	chr8	+	linc1634	106135400.0	mouse	ENSEMBL	shRNA	lncRNA2Target
126	184_linc1635.txt	ENSMUSG00000098294	chr9	-	linc1635	72776225.0	mouse	ENSEMBL	shRNA	lncRNA2Target
127	185_LAST.txt	ENSG00000254682	chr11	+	LAST	71448674.0	human	ENSEMBL	shRNA	lncRNA2Target
128	186_lnrCXCR4.txt		chr2	-	lnrCXCR4	136118149.0	human	ENSEMBL	ASO	lncRNA2Target
129	187_lnrCXCR4.txt		chr2	-	lnrCXCR4	136118149.0	human	ENSEMBL	ASO	lncRNA2Target
130	188_lnrCXCR4.txt		chr2	-	lnrCXCR4	136118149.0	human	ENSEMBL	ASO	lncRNA2Target
131	189_lnrCXCR4.txt		chr2	-	lnrCXCR4	136118149.0	human	ENSEMBL	ASO	lncRNA2Target
132	190_lnrCXCR4.txt		chr2	-	lnrCXCR4	136118149.0	human	ENSEMBL	ASO	lncRNA2Target
